condition,message
0100000010,0
0100000010,0
0100000010,0
0100100000,0
0100001000,0
0100100000,1
0100100000,1
0100100000,0
0100010000,1
0100100000,1
0100100000,1
0100001000,1
0100001000,1
0100000010,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100100000,1
0100010000,1
0100000010,1
0100000010,1
0100000010,1
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100010000,0
0100000100,0
0100000100,0
0100010000,0
0100010000,0
0100000010,0
0100000010,0
0100000010,0
0100000010,0
0100000010,1
0100100000,0
0100010000,1
0100000100,1
0100100000,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100010000,1
0100000100,0
0100010000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100100000,0
0100001000,0
0100001000,0
0100001000,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100000100,0
0100010000,0
0100000100,0
0100000100,0
0100000010,0
0100000010,0
0100100000,1
0100100000,1
0100100000,1
0100000010,1
0100100000,0
0100010000,0
0100010000,1
0100010000,1
0100010001,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100001000,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000100,1
0100000010,1
0100000100,1
0100100000,1
0100100000,1
0100100000,1
0100000100,1
0100000100,1
0100000100,1
0100010000,1
1000000010,1
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000100000,0
1000100000,0
1000001000,0
1000001000,0
1000001000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000000010,0
1000000010,0
1000000010,0
1000100000,0
1000010000,0
1000010000,1
1000010000,1
1000010000,1
1000000100,1
1000000100,1
1000100000,1
1000000100,1
1000000100,1
1000000100,1
1000000010,1
1000000010,1
1000100000,1
1000000100,1
1000010000,1
1000100000,0
1000100000,0
1000010000,0
1000010001,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000010000,0
1000010000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000001000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000010000,0
1000000100,0
1000000010,0
1000000010,0
1000100000,1
1000100000,1
1000010000,0
1000010000,1
1000010000,1
1000100000,1
1000100000,1
1000001000,1
1000001000,1
1000000100,1
1000000100,1
1000000100,1
1000000100,1
1000000100,1
1000000010,1
1000100000,1
1000100000,1
1000000100,1
1000000100,1
1000100000,1
1000010000,1
1000010000,0
1000010001,0
1000010000,0
1000010000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010001,0
1000010001,0
1000001000,0
1000001000,0
1000100000,0
1000100000,0
1000010001,0
1000010001,0
1000010001,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000010,0
1000000010,0
1000000010,0
1000100000,0
1000010000,1
1000000100,1
1000000100,1
1000001000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000000100,1
1000000100,1
1000000100,1
1000100000,1
1000100000,1
1000100000,1
1000010000,1
1000000010,1
1000100000,0
1000010000,0
1000000100,0
1000010000,0
1000000100,0
1000000100,0
1000010000,0
1000100000,0
1000100000,0
1000100000,0
1000001000,0
1000001000,0
1000000100,0
1000000100,0
1000010000,0
1000000100,0
1000010000,0
1000000010,0
1000000010,0
1000001000,0
1000100000,1
1000010000,1
1000000100,1
1000000100,1
1000100000,1
1000001000,1
1000001000,1
1000000100,1
1000000100,1
1000100000,1
1000010000,1
1000010001,0
1000001000,0
1000001000,0
1000010000,0
1000010000,0
1000000010,0
1000100000,1
1000100000,1
1000000100,1
1000010000,1
1000000100,1
1000000010,1
1000100000,0
1000010000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000000010,0
1000000010,0
1000000010,0
1000000010,0
1000100000,0
1000100000,0
1000100000,1
1000100000,1
1000000100,1
1000100000,1
1000000010,1
1000000010,1
1000100000,1
1000000100,1
1000100000,1
1000100000,1
1000010000,1
1000100000,0
1000010000,0
1000000100,0
1000010000,0
1000000100,0
1000100000,0
1000100000,0
1000100000,0
1000001000,0
1000001000,0
1000001000,0
1000000100,0
1000000100,0
1000010000,0
1000010000,0
1000000010,0
1000000010,0
1000000010,0
1000100000,0
1000010000,1
1000100000,1
1000100000,1
1000100000,1
1000000100,1
1000010000,1
1000100000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000001000,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000000100,0
1000010000,0
1000010000,0
1000010000,0
1000010000,0
1000000100,0
1000000010,0
1000000010,0
1000000010,0
1000100000,1
1000000010,1
1000010000,0
1000010000,1
1000010000,1
1000010000,1
1000000100,1
1000000100,1
1000010000,1
1000100000,1
1000100000,1
1000000100,1
1000000100,1
1000010000,1
1000100000,1
1000000100,1
1000010000,1
1000100000,0
1000100000,0
1000010000,0
1000010000,0
1000000101,0
1000000101,0
1000000100,0
1000000100,0
1000010001,0
1000010000,0
1000001000,0
1000000101,0
1000000101,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000100000,0
1000010001,0
1000010001,0
1000001000,0
1000000100,0
1000000100,0
1000010000,0
1000010000,0
1000001001,0
1000100000,0
1000100000,0
1000001000,0
1000010000,0
1000010000,0
1000010000,1
1000010000,1
1000010000,1
1000010000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000100000,1
1000000100,1
1000000100,1
1000100000,1
1000100000,1
1000000101,1
1000000101,1
1000000101,1
1000000101,1
1000000100,1
1000000100,1
1000000101,1
1000000100,1
1000010000,1
1000010000,1
1000000011,1
1000000011,1
1000000011,1
1000000011,1
1000100000,0
1000000101,0
1000000101,0
1000010000,0
1000000101,0
1000001000,0
1000001000,0
1000001000,0
1000000101,0
1000010001,0
1000000010,0
1000010000,0
1000000101,1
